Name,Industry,Sector,Headquarters,Founded,Notes,Private/State,Active/Defunct
Nuclear Power Corporation of India,Energy,Alternative energy,Mumbai,1987,State nuclear power generation,S,A
Nykaa,Technology,Consumer digital services,Mumbai,2012,"Online beauty products, e-commerce",P,A
Oil and Natural Gas Corporation,Energy,Integrated oil & gas,Dehradun,1956,State oil & gas exploration and production,S,A
Oil India,Energy,Integrated oil & gas,Duliajan,1959,Oil exploration and production,S,A
Ola Electric,Consumer goods,Automobiles,Bangaluru,2017,"Motorcycles, electric vehicles",P,A
Omega Seiki Mobility,Consumer goods,Automobiles,New Delhi,2018,"Automotive, electric vehicles",P,A
OMPL,Energy,Integrated oil & gas,Mangalore,2006,Oil exploration and production,S,A
One97 Communications,Technology,Consumer digital services,Noida,2000,Ecommerce and fintech,P,A
Onida Electronics,Consumer goods,Consumer electronics,Mumbai,1981,Consumer electronics,P,A
OnMobile,Telecommunications,Telecommunications services,Bengaluru,2000,Mobile operator,P,A
Oracle Financial Services Software,Technology,Software,Mumbai,1990,Banking software,P,A
Ordnance Factory Board,Industrials,Defense,Kolkata,1775,"Defense systems, firearms. Defunct 2021.Dissolved factories assets transferred to 7PSUsin 2021.[6]",P,D
Oswald Labs,Technology,Software,New Delhi,2016,Accessibility technology,P,A
Paramount Airways,Consumer services,Airlines,Chennai,2005,"Airline, defunct 2010",P,D
Parle Agro,Consumer goods,Beverages,Mumbai,1984,Drinks,P,A
Parle Products,Consumer goods,Food products,Mumbai,1929,Food,P,A
Patanjali Ayurved,Conglomerate,,Haridwar,2006,"Food, ayurvedic & herbal products, cosmetics, personal products",P,A
Pawan Hans,Consumer services,Airlines,Noida,1985,Helicopter services,S,A
Pentamedia Graphics,Consumer services,Broadcasting & entertainment,Chennai[7],1976[7],"Animation studio, digital services",P,A
Persistent Systems,Technology,Software,Nagpur,1990,"Software, consulting",P,A
Petronet LNG,Energy,Oil refining & marketing,New Delhi,1998,Liquefied natural gas importer,S,A
Pidilite Industries,Chemicals,Specialty chemicals,Mumbai,1959,"Adhesives, chemicals",P,A
Pine Labs,Technology,Consumer digital services,Noida,1998,Merchant payment,P,A
Piramal Group,Health care,Pharmaceuticals,Mumbai,1988,Pharma,P,A
Power Finance Corporation,Financials,Financial services,New Delhi,1986,State financing,S,A
Power Grid Corporation of India,Industrials,Industrial suppliers,Gurugram,1989,State power transmission infrastructures,S,A
PTC India,Financials,Financial services,New Delhi,1999,State power trading and financial solution,S,A
Praj,Chemicals,Specialty chemicals,Pune,1983,"Ethanol plant, sugar processing",P,A
Punj Lloyd,Industrials,Construction,New Delhi,1998[8],,P,A
Punjab & Sind Bank,Financials,Banks,New Delhi,1908,Bank,S,A
Punjab National Bank,Financials,Banks,New Delhi,1894,Bank,S,A
Protean eGov Technologies,e-Governance,"MarTech, RegTech",Mumbai,1995,Digital Public Infrastructure,P,A
PVR INOX,Consumer services,Broadcasting & entertainment,Gurugram,1997,Movie theaters,P,A
Raheja Developers,Real estate,Real estate,New Delhi,1990,Real estate,P,A
Rail India Technical and Economic Service,Industrials,Transportation services,Gurugram,1974,Part ofIndian Railways,S,A
Rajesh Exports,Basic materials,Gold mining,Bengaluru,1989,"Gold mining, refining & jewellery retailer",P,A
Raheja Mindspace,Industrials,Business support services,Mumbai,1956,Industrial parks,P,A
Ramco Systems,Technology,Software,Chennai,1992,Software,P,A
Ranbaxy Laboratories,Health care,Pharmaceuticals,Gurugram,1961,Pharma,P,A
Rapido,Consumer goods,Auto services,Bengaluru,2015,Bike cabs,P,A
Rashtriya Chemicals & Fertilizers,Chemicals,Fertilizers,Mumbai,1978,Fertilizers,S,A
Rashtriya Ispat Nigam,Basic materials,Iron & steel,Visakhapatnam,1982,Steel,S,A
Raymond Group,Retail,Apparel retailers,Mumbai,1925,Fabric and fashion retailer,P,A
REC Limited,Financials,Financial services,New Delhi,1969,Electrical infrastructure financing,S,A
Rediff.com,Technology,Consumer digital services,Mumbai,1996,"Information, shopping portal",P,A
Reliance Capital,Financials,Asset managers,Mumbai,1986,Part ofReliance Group,P,A
Reliance Communications,Telecommunications,Telecommunications service providers,Mumbai,2002,Part ofReliance Group,P,A
Reliance Digital,Retail,Specialty retailers,Mumbai,2007,Part ofReliance Retail,P,A
Reliance Entertainment,Consumer services,Broadcasting & entertainment,Mumbai,2005,Part ofReliance Group,P,A
Reliance Group,Conglomerate,,Mumbai,1966,"Telecom, financials, industrials, consumer services",P,A
Reliance Health,Health care,Health care providers,Mumbai,2006,Part ofReliance Group,P,A
Reliance Industrial Infrastructure,Industrials,Construction,Mumbai,1988,Part ofReliance Industries,P,A
Reliance Industries,Conglomerate,,Mumbai,1966,"Oil & gas, industrials, consumer services, telecommunications",P,A
Reliance Infrastructure,Industrials,Construction,Mumbai,2002,Part ofReliance Group,P,A
Reliance Life Insurance,Financials,Life insurance,Mumbai,2001,Part ofReliance Group,P,A
Reliance MediaWorks,Consumer services,Broadcasting & entertainment,Mumbai,1975,Part ofReliance Group,P,A
Reliance Naval and Engineering Limited,Industrials,Shipbuilding,Rajula,1997,Part ofReliance Group,P,A
Reliance Power,Utilities,Alternative electricity,Navi Mumbai,2007,"Thermal power generation, part ofReliance Group",P,A
Reliance Retail,Retail,Diversified retailers,Mumbai,2006,Part ofReliance Industries,P,A
Route Mobile,Technology,Consumer digital services,Mumbai,2004,Cloud computing,P,A
Royal Enfield,Consumer goods,Automobiles,Chennai,1955,Motorcycles,P,A
RPG Group,Conglomerate,,Mumbai,1979,"Technology, industrials",P,A
RP-Sanjiv Goenka Group,Conglomerate,,Kolkata,2011,"Industrials, beverages, sports club",P,A
Sahara India Pariwar,Conglomerate,,Lucknow,1978,"Financials, construction, media, retail",P,D
Samtel Avionics,Industrials,Aerospace & defense,New Delhi,2005,Aerospace & defense,P,A
Samtel Group,Conglomerate,,New Delhi,1973,"Electronics, defense, real estate, construction, education",P,A
Saravana Bhavan,Consumer goods,Food products,Chennai,1981,"Food, sweets, bakery, ice cream",P,A
SAS Motors,Industrials,Agricultural & farm machinery,Faridabad,2004,Tractors,P,A
Sasken Technologies,Industrials,Business support services,Bengaluru,1989,Engineering,P,A
Sea6 Energy,Energy,Alternative energy,Bengaluru,2010,Biofuel,P,A
Serum Institute of India,Health care,Pharmaceuticals & biotehcnology,Pune,1966,Vaccines,P,A
Shapoorji Pallonji Group,Conglomerate,,Mumbai,1865,"Real estate, industrials, consumer goods",P,A
Shipping Corporation of India,Industrials,Marine transportation,Mumbai,1961,State-owned shipping,S,A
Shoppers Stop,Retail,Apparel retailers,Mumbai,1991,Clothing & home departmental stores,P,A
Shree Cement,Industrials,Cement,Kolkata,1979,Cement,P,A
Shree Ganesh Jewellery House,Retail,Specialty retailers,Kolkata,2002,Jeweler,P,A
Shree Renuka Sugars,Consumer goods,Food products,Belgaum,1998,Sugar,P,A
Shriram Group,Conglomerate,,Chennai,1974,"Financials, industrials, health care",P,A
Singareni Collieries Company,Energy,Coal,Kothagudem,1920,Coal mining,S,A
Skipper Limited,Industrials,Electrical components,Kolkata,1981,Electrical transmission infrastructure,P,A
Skyroot Aerospace,Industrials,"Aerospace, space industry",Hyderabad,2018,Launch vehicles,P,A
Snapdeal,Technology,Consumer digital services,New Delhi,2010,E-commerce,P,A
Sobha,Real estate,Real estate holding & development,Bengaluru,1995,Developer,P,A
Sonata Software,Technology,Software,Bengaluru,1986,BI and analytics,P,A
South Indian Bank,Financials,Banks,Thrissur,1929,Private bank,P,A
SpiceJet,Consumer services,Airlines,Gurugram,2004,Low-cost airline,P,A
SSS Defence,Industrials,Defense,Bengaluru,2017,Firearms,P,A
State Bank of India,Financials,Banks,Mumbai,1806,State bank,S,A
Steel Authority of India Limited,Basic materials,Iron & steel,New Delhi,1954,State steel,S,A
Sterlite Copper,Basic materials,Copper,Kolkata,1975,"Mining, part ofVedanta Resources(UK)",P,A
Sterlite Technologies,Telecommunications,Telecommunications equipment,Pune,2000,"Optical fiber & cables, part ofVedanta Resources(UK)",P,A
Sugar Cosmetics,Consumer goods,Cosmetics,Mumbai,2015,Cosmetics,P,A
Suminter India Organics,Consumer goods,Food products,Mumbai,2003,Organic products,P,A
Sun Group,Consumer services,Broadcasting & entertainment,Chennai,1992,"TV, publisher",P,A
Sun Pharma,Health care,Pharmaceuticals,Mumbai,1983,Pharma,P,A
Surya Roshni,Industrials,Diversified industrials,Delhi,1973,"Fans, PVC, kitchen appliances, lighting, steel",P,A
Suzlon,Utilites,Alternative electricity,Pune,1995,Turbines,P,A
Swiggy,Technology,Consumer digital services,Bengaluru,2014,"Food delivery, online grocery",P,A
Synthite,Consumer goods,Food products,Kochi,1972,Value added spice extracts,P,A
T-Series,Consumer services,Broadcasting & entertainment,Noida,1983,Record and film producer,P,A
Tamil Nadu Newsprint and Papers Limited,Consumer services,Publishing,Chennai,1979,State publisher,S,A
Tamilnad Mercantile Bank,Financials,Banks,Thoothukudi,1921,Bank,P,A
Tanla Platforms,Technology,Consumer digital services,Hyderabad,1999,Cloud computing,P,A
Tara International,Consumer goods,Automobiles,Mumbai,?,"Automotive, electric vehicles",P,A
Tata Advanced Systems,Industrials,Aerospace & defense,Hyderabad,2007,"Aerospace, defense, part ofTata Sons",P,A
Tata Business Support Services,Industrials,Business support services,Hyderabad,2004,Part ofTata Sons,P,A
Tata Chemicals,Chemicals,Chemicals: diversified,Mumbai,1939,Part ofTata Sons,P,A
Tata Communications,Telecommunications,Telecommunications service providers,Mumbai,1986,"Fixed-line telecommunications, part ofTata Sons",P,A
Tata Consultancy Services,Industrials,Business support services,Mumbai,1968,Part ofTata Sons,P,A
Tata Consumer Products,Consumer goods,Beverages,Kolkata,1964,"Tea, coffee, part ofTata Sons",P,A
Tata Group,Conglomerate,,Mumbai,1868,Part ofTata Sons,P,A
Tata Interactive Systems,Industrials,Business support services,MumbaiandKolkata,1990,Part ofTata Sons,P,A
Tata Motors,Consumer goods,Automobiles,Mumbai,1945,"Automotive, Part ofTata Sons",P,A
Tata Play,Consumer services,Broadcasting & entertainment,Mumbai,2004,"Satellite streaming, part ofTata Sons",P,A
Tata Power,Utilities,Alternative electricity,Mumbai,1910,"Thermal power generation, part ofTata Sons",P,A
Tata Steel,Basic materials,Iron & steel,Mumbai,1907,Part ofTata Sons,P,A
Tata Steel BSL,Basic materials,Iron & steel,New Delhi,1987,Steel,P,A
Tata Technologies,Industrials,Industrial engineering,Pune,1989,"Engineering & design, IT services, part ofTata Sons",P,A
Tech Mahindra,Industrials,Business support services,Pune,1986,"Consulting, BPO",P,A
Tega Industries Ltd.,Industrials,Machinery: construction & handling,Kolkata,1976,Mining equipment & handling machinery,P,A
Terumo Penpol,Health care,Medical equipment,Thiruvananthapuram,1987,"Blood bag manufacturer, medical electronics, subsidiary ofTerumo(Japan)",P,A
Texmaco Rail & Engineering,Industrials,Railroad equipment,Kolkata,1939,Rail engineering,P,A
The Muthoot Group,Conglomerate,,Kochi,1887,"Financials, travel & leisure, healthcare, real estate",P,A
Thermax,Industrials,Electrical components,Pune,1980,Energy engineering,P,A
Thyrocare,Health care,Health care facilities,Navi Mumbai,1996,"Diagnostic, preventive care laboratories",P,A
The Times Group,Consumer services,Broadcasting & entertainment,Mumbai,1838,Media conglomerate,P,A
Titagarh Rail Systems,Industrials,Railroad equipment,Kolkata,1984,Rail industry,P,A
Titan Company,Consumer goods,Clothing & accessories,Bengaluru,1984,"Watches, luxury products",P,A
Torque Pharmaceuticals,Health care,Pharmaceuticals,Mohali,1985,Nutrition supplements,P,A
Torrent Group,Conglomerate,,Ahmedabad,1959,"Health care, industrials",P,A
Toyota Kirloskar Motor,Consumer goods,Automobiles,Bengaluru,1997,"Automotive, joint venture ofKirloskar Group&Toyota(Japan)",P,A
Tractors and Farm Equipment Limited,Industrials,Agricultural & farm machinery,Chennai,1960,Tractors,P,A
TradeIndia,Technology,Consumer digital services,New Delhi,1996,Portal,P,A
Travancore Cochin Chemicals,Chemicals,Chemicals: diversified,Kochi,1961,Chemicals,S,A
Travancore Titanium Products,Chemicals,Specialty chemicals,Thiruvananthapuram,1946,Titanium dioxide,S,A
Troop Comforts,Industrials,Defense,Kanpur,2021,Military clothing & equipment,S,A
TTK Prestige,Consumer goods,Durable household products,Chennai,1955,Cookware,P,A
TVS Motor Company,Consumer goods,Automobiles,Chennai,1978,Motorcycles,P,A
UCO Bank,Financials,Banks,Kolkata,1943,State bank,S,A
UltraTech Cement,Industrials,Cement,Mumbai,1983,Cement,P,A
Union Bank of India,Financials,Banks,Mumbai,1919,State bank,S,A
Unitech Group,Real estate,Real estate holding & development,New Delhi,1972,Real estate development,P,A
United Breweries Group,Conglomerate,,Bengaluru,1857,"Food & beverage, engineering, financials, part ofHeineken(Netherlands)",P,A
UPL,Chemicals,Specialty chemicals,Mumbai,1969,Chemicals,P,A
USV,Health care,Pharmaceuticals,Navi Mumbai,1961,Pharma,P,A
V-Guard Industries,Consumer goods,Consumer electronics,Kochi,1977,"Electrical goods, home appliances",P,A
VA Tech Wabag,Utilities,Water,Chennai,1924,Water treatment,P,A
Vadilal,Conglomerate,,Ahmedabad,1907,"Chemicals, food & beverage, financials",P,A
Vedanta Limited,Conglomerate,,New Delhi,1979,"Mining, oil & gas, utility, steel, part ofVedanta Resources(UK)",P,A
Vicco Group,Health care,Ayurvedic producers,Mumbai,1952,Alternative medicines,P,A
Videocon Group,Conglomerate,,Mumbai,1979,"Industrials, consumer goods, oil & gas",P,A
Vijaya Bank,Financials,Banks,Bengaluru,1931,State bank,S,A
VIP Industries,Consumer goods,Recreational products,Mumbai,1971,Luggage,P,A
Vodafone Idea,Telecommunications,Telecommunications services,Mumbai,1995,"Mobile network, joint venture ofAditya Birla Group&Vodafone(UK)",P,A
Voltas,Consumer goods,Consumer electronics,Mumbai,1954,Home appliances,P,A
Voonik,Technology,Consumer digital services,Bengaluru,2013,Online marketplace,P,A
VST Industries,Consumer goods,Tobacco,Hyderabad,1930,Tobacco,P,A
Wadia Group,Conglomerate,,Mumbai,1736,"Chemicals, industrials",P,A
Walchandnagar Industries,Conglomerate,,Mumbai,1908,"Energy, transportation, nuclear industry",P,A
WAPCOS Limited,Industrials,Engineering and contracting services,New Delhi,1969,Engineering & consultancy,P,A
Welspun Corp,Industrials,Diversified industrials,Mumbai,1995,Part ofWelspun World,P,A
Welspun Energy,Utilities,Alternative electricity,New Delhi,2002,"Solar power generation, part ofWelspun World",P,A
Welspun Living,Consumer goods,Clothing & accessories,Mumbai,1985,Part ofWelspun World,P,A
Welspun World,Conglomerate,,Mumbai,1985,"Steel, energy, investments, retail",P,A
West Bengal Electronics Industry Development Corporation,Industrials,Electronic & electrical equipment,Kolkata,1974,"Capacitors, driven equipment, picture tubes, telephone exchanges",S,A
West Bengal State Co-Operative Bank,Financials,Banks,Kolkata,1918,State bank,S,A
Wipro,Industrials,Business support services,Bengaluru,1945,"Consulting, BPO",P,A
XOLO,Consumer goods,Consumer electronics,Noida,2012,Mobile handsets,P,A
Yantra India,Industrials,Defense,Nagpur,2021,Defence equipment,S,A
Yatra,Consumer services,Travel & tourism,Gurugram,2006,Travel agency,P,A
Yebhi,Technology,Consumer digital services,Gurugram,2009,E-commerce,P,A
Yepme,Technology,Consumer digital services,Gurugram,2011,E-commerce,P,A
Yes Bank,Financials,Banks,Mumbai,2004,Private bank,P,A
Zandu Realty,Health care,Ayurvedic producers,Mumbai,1910,"Alternative medicines, part ofEmami",P,A
Zee Entertainment Enterprises,Consumer services,Broadcasting & entertainment,Mumbai,1992,Broadcaster,P,A
Zee News,Consumer services,Broadcasting & entertainment,Mumbai,1999,News channel,P,A
Zensar Technologies,Technology,Software & IT services,Pune,1991,IT services and software,P,A
Zeta,Technology,Consumer digital services,Mumbai,2015,Fintech,P,A
Zoho Corporation,Technology,Software,Chennai,1996,Business management software,P,A
Zomato,Technology,Consumer digital services,Gurugram,2008,Food delivery,P,A
Zydus Lifesciences,Health care,Pharmaceuticals,Ahmedabad,1952,Pharma,P,A
